,0,1,2,domain
402,0,0,2,www.stopfake.org
403,1,0,0,www.georgianewsday.com
404,0,0,1,happyplanetindex.org
405,0,0,1,www.krone.at
406,0,2,0,www.independent.ie
407,0,1,0,www.pewforum.org
408,0,0,1,www.birminghammail.co.uk
409,0,0,2,www.katoikos.eu
410,0,0,1,www.skysports.com
411,0,0,1,www.rheinpfalz.de
412,0,0,1,www.freiburg.de
413,0,0,1,3.bp.blogspot.com
414,0,1,0,www.dailyrecord.co.uk
415,0,1,0,qz.com
416,0,0,1,forward.com
417,0,1,0,www.worldaudit.org
418,0,0,1,trade.ec.europa.eu
419,0,0,1,izvestia.ru
420,0,1,0,plus.google.com
421,0,0,1,everybodywalk.org
422,0,0,1,www.techdirt.com
423,0,1,0,www.explainxkcd.com
424,0,1,0,fightforthereef.getup.org.au
425,0,1,0,books.google.ca
426,0,0,1,thehill.com
427,1,0,0,www.jpost.com
428,0,0,1,www.hbo.com
429,0,1,0,www.al-islam.org
430,1,0,0,www.columbia.com
431,1,0,0,nypost.com
432,2,3,7,www.reuters.com
433,0,1,0,www.rainn.org
434,1,0,1,www.pewresearch.org
435,0,1,0,www.guineapigtoday.com
436,0,0,1,pando.com
437,0,1,0,www.pri.org
438,0,1,0,www.eoi.es
439,1,0,0,www.j-alz.com
440,0,0,1,www.archives.gov
441,0,1,0,www.ncpa.org
442,6,15,13,www.express.co.uk
443,8,0,0,chamorrobible.org
444,0,1,0,www.ndtv.com
445,0,0,2,www.politifact.com
446,0,1,1,www.zerohedge.com
447,0,0,1,articles.sun-sentinel.com
448,0,0,1,www.ecipe.org
449,0,2,0,www.imbel.gov.br
450,0,1,0,science.howstuffworks.com
451,1,0,0,www.upi.com
452,8,17,16,youtu.be
453,0,1,0,m.timesofindia.com
454,3,2,1,vgy.me
455,0,2,0,www.environment.gov.au
456,0,1,0,www.ipforum.org
457,0,0,1,justice4assange.com
458,0,1,0,www.dummies.com
459,0,0,1,webcache.googleusercontent.com
460,0,1,0,www.foreignpolicyjournal.com
461,0,1,0,i.dailymail.co.uk
462,1,0,0,m.huffpost.com
463,1,0,1,www.dailydot.com
464,0,2,0,www.williammurdoch.net
465,0,1,0,pastebin.com
466,0,0,1,archive.is
467,0,1,0,www.cdc.gov
468,22,78,65,en.wikipedia.org
469,0,1,0,VHEMT.org
470,0,1,0,www.heraldsun.com.au
471,0,0,3,www.smh.com.au
472,0,0,1,www.greenfacts.org
473,0,0,1,www.mskcc.org
474,0,1,0,www.skepticalscience.com
475,0,0,1,static.guim.co.uk
476,1,0,0,america.aljazeera.com
477,0,1,0,www.ted.com
478,0,0,1,daserste.ndr.de
479,0,0,1,english.alarabiya.net
480,0,1,0,globalnation.inquirer.net
481,0,1,3,www.washingtontimes.com
482,0,0,1,www.tandfonline.com
